Data,Hora,Arquivo,Temperatura Ambiente (°C),Temperatura Corpo Negro (°C),Vpp (V),Vrms (V)
14/01/2025,21:47:09,T0003.csv,24.19,150,0.89,0.2482075
14/01/2025,22:01:33,T0004.csv,24.12,175,1.29,0.367014
14/01/2025,22:27:17,T0006.csv,24.0,225,1.98,0.6222185
14/01/2025,22:38:27,T0007.csv,23.94,250,2.42,0.7750127
14/01/2025,22:49:28,T0008.csv,24.12,275,2.9,0.952549
14/01/2025,23:00:49,T0009.csv,24.31,300,3.42,1.1367
14/01/2025,23:12:10,T0010.csv,24.31,325,3.92,1.3274
14/01/2025,23:23:42,T0011.csv,24.37,350,4.44,1.5309
14/01/2025,23:35:13,T0012.csv,24.44,375,5.0,1.7386
14/01/2025,23:46:54,T0013.csv,24.44,400,5.48,1.9516
14/01/2025,23:58:55,T0014.csv,24.44,425,6.04,2.1607
15/01/2025,00:10:56,T0015.csv,24.37,450,6.48,2.3536
15/01/2025,00:23:08,T0016.csv,24.5,475,6.96,2.5138
15/01/2025,00:35:29,T0017.csv,24.5,500,7.36,2632
15/01/2025,01:13:36,T0020.csv,24.44,575,8.16,2.6027
15/01/2025,01:27:08,T0021.csv,24.44,600,8.24,2.4642
15/01/2025,01:41:32,T0022.csv,24.37,575,8.16,2593
15/01/2025,01:56:15,T0023.csv,24.44,550,8.0,2.6783
15/01/2025,02:10:49,T0024.csv,24.37,525,7.76,2.6946
15/01/2025,02:25:53,T0025.csv,24.37,500,7.36,2.6434
15/01/2025,02:40:16,T0026.csv,24.37,475,7.0,2.5334
15/01/2025,03:08:53,T0028.csv,24.37,425,6.12,2.1867
15/01/2025,03:22:45,T0029.csv,24.25,400,5.6,1.9765
15/01/2025,03:36:28,T0030.csv,24.19,375,5.08,1.7702
15/01/2025,03:50:01,T0031.csv,24.12,350,4.52,1.5637
15/01/2025,04:03:44,T0032.csv,24.12,325,4.0,1.3626
15/01/2025,04:17:26,T0033.csv,24.06,300,3.5,1.1765
15/01/2025,04:31:30,T0034.csv,24.06,275,3.04,1.0014
15/01/2025,04:45:53,T0035.csv,24.06,250,2.58,0.8315082
15/01/2025,05:00:47,T0036.csv,24.0,225,2.16,0.6776059
15/01/2025,05:34:27,T0038.csv,23.94,175,1.44,0.415857
15/01/2025,06:15:23,T0040.csv,23.87,125,0.81,0.2061458
15/01/2025,06:40:55,T0041.csv,24.0,100,0.58,0.137548
15/01/2025,06:59:22,T0042.csv,24.25,125,865,0.2238403
15/01/2025,07:15:06,T0043.csv,23.94,150,1.07,0.2916691
